symbol,interval,limit
HYPEUSDT,1d,1500
ICNTUSDT,1d,1500
ICPUSDT,1d,1500
ICXUSDT,1d,1500
IDOLUSDT,1d,1500
IDUSDT,1d,1500
ILVUSDT,1d,1500
IMXUSDT,1d,1500
INITUSDT,1d,1500
INJUSDT,1d,1500
INUSDT,1d,1500
IOSTUSDT,1d,1500
IOTAUSDT,1d,1500
IOTXUSDT,1d,1500
IOUSDT,1d,1500
IPUSDT,1d,1500
JASMYUSDT,1d,1500
JELLYJELLYUSDT,1d,1500
JOEUSDT,1d,1500
JSTUSDT,1d,1500
JTOUSDT,1d,1500
JUPUSDT,1d,1500
KAIAUSDT,1d,1500
KAITOUSDT,1d,1500
KASUSDT,1d,1500
KAVAUSDT,1d,1500
KDAUSDT,1d,1500
KERNELUSDT,1d,1500
KMNOUSDT,1d,1500
KNCUSDT,1d,1500
KOMAUSDT,1d,1500
KSMUSDT,1d,1500
LAUSDT,1d,1500
LAYERUSDT,1d,1500
LDOUSDT,1d,1500
LINEAUSDT,1d,1500
LINKUSDT,1d,1500
LISTAUSDT,1d,1500
LPTUSDT,1d,1500
LQTYUSDT,1d,1500
LRCUSDT,1d,1500
LSKUSDT,1d,1500
LTCUSDT,1d,1500
LUMIAUSDT,1d,1500
LUNA2USDT,1d,1500
MAGICUSDT,1d,1500
MANAUSDT,1d,1500
MANTAUSDT,1d,1500
MASKUSDT,1d,1500
MAVIAUSDT,1d,1500
MAVUSDT,1d,1500
MBOXUSDT,1d,1500
MELANIAUSDT,1d,1500
MEMEUSDT,1d,1500
MERLUSDT,1d,1500
METISUSDT,1d,1500
MEUSDT,1d,1500
MEWUSDT,1d,1500
MILKUSDT,1d,1500
MINAUSDT,1d,1500
MITOUSDT,1d,1500
MLNUSDT,1d,1500
MOCAUSDT,1d,1500
MOODENGUSDT,1d,1500
MORPHOUSDT,1d,1500
MOVEUSDT,1d,1500
MOVRUSDT,1d,1500
MTLUSDT,1d,1500
MUBARAKUSDT,1d,1500
MUSDT,1d,1500
MYROUSDT,1d,1500
MYXUSDT,1d,1500
NAORISUSDT,1d,1500
NEARUSDT,1d,1500
NEIROETHUSDT,1d,1500
NEIROUSDT,1d,1500
NEOUSDT,1d,1500
NEWTUSDT,1d,1500
NFPUSDT,1d,1500
NILUSDT,1d,1500
NKNUSDT,1d,1500
NMRUSDT,1d,1500
NOTUSDT,1d,1500
NTRNUSDT,1d,1500
NXPCUSDT,1d,1500
OBOLUSDT,1d,1500
OGNUSDT,1d,1500
OGUSDT,1d,1500
OLUSDT,1d,1500
OMUSDT,1d,1500
ONDOUSDT,1d,1500
ONEUSDT,1d,1500
ONGUSDT,1d,1500
ONTUSDT,1d,1500
OPENUSDT,1d,1500
OPUSDT,1d,1500
ORCAUSDT,1d,1500
ORDIUSDT,1d,1500
OXTUSDT,1d,1500
PARTIUSDT,1d,1500
PAXGUSDT,1d,1500
PENDLEUSDT,1d,1500
PENGUUSDT,1d,1500
PEOPLEUSDT,1d,1500
PERPUSDT,1d,1500
PHAUSDT,1d,1500
PHBUSDT,1d,1500
PIPPINUSDT,1d,1500
PIXELUSDT,1d,1500
PLAYUSDT,1d,1500
PLUMEUSDT,1d,1500
PNUTUSDT,1d,1500
POLUSDT,1d,1500
POLYXUSDT,1d,1500
PONKEUSDT,1d,1500
POPCATUSDT,1d,1500
PORT3USDT,1d,1500
PORTALUSDT,1d,1500
POWRUSDT,1d,1500
PROMPTUSDT,1d,1500
PROMUSDT,1d,1500
PROVEUSDT,1d,1500
PTBUSDT,1d,1500
PUFFERUSDT,1d,1500
PUMPBTCUSDT,1d,1500
PUMPUSDT,1d,1500
PUNDIXUSDT,1d,1500
PYTHUSDT,1d,1500
QNTUSDT,1d,1500
QTUMUSDT,1d,1500
QUICKUSDT,1d,1500
QUSDT,1d,1500
RAREUSDT,1d,1500
RAYSOLUSDT,1d,1500
RDNTUSDT,1d,1500
REDUSDT,1d,1500
REIUSDT,1d,1500
RENDERUSDT,1d,1500
RESOLVUSDT,1d,1500
REZUSDT,1d,1500
RIFUSDT,1d,1500
RLCUSDT,1d,1500
RONINUSDT,1d,1500
ROSEUSDT,1d,1500
RPLUSDT,1d,1500
RSRUSDT,1d,1500
RUNEUSDT,1d,1500
RVNUSDT,1d,1500
SAFEUSDT,1d,1500
SAGAUSDT,1d,1500
SAHARAUSDT,1d,1500
SANDUSDT,1d,1500
SANTOSUSDT,1d,1500
SAPIENUSDT,1d,1500
SCRTUSDT,1d,1500
SCRUSDT,1d,1500
SEIUSDT,1d,1500
SFPUSDT,1d,1500
SHELLUSDT,1d,1500
SIGNUSDT,1d,1500
SIRENUSDT,1d,1500
SKATEUSDT,1d,1500
SKLUSDT,1d,1500
SKYAIUSDT,1d,1500
SKYUSDT,1d,1500
SLERFUSDT,1d,1500
SLPUSDT,1d,1500
SNXUSDT,1d,1500
SOLUSDT,1d,1500
SOLVUSDT,1d,1500
SOMIUSDT,1d,1500
SONICUSDT,1d,1500
SOONUSDT,1d,1500
SOPHUSDT,1d,1500
SPELLUSDT,1d,1500
SPKUSDT,1d,1500
SPXUSDT,1d,1500
SQDUSDT,1d,1500
SSVUSDT,1d,1500
STBLUSDT,1d,1500
STEEMUSDT,1d,1500
STGUSDT,1d,1500
STORJUSDT,1d,1500
STOUSDT,1d,1500
STRKUSDT,1d,1500
STXUSDT,1d,1500
SUIUSDT,1d,1500
SUNUSDT,1d,1500
SUPERUSDT,1d,1500
SUSDT,1d,1500
SUSHIUSDT,1d,1500
SWARMSUSDT,1d,1500
SWELLUSDT,1d,1500
SXPUSDT,1d,1500
SXTUSDT,1d,1500
SYNUSDT,1d,1500
SYRUPUSDT,1d,1500
SYSUSDT,1d,1500
TACUSDT,1d,1500
TAGUSDT,1d,1500
TAIKOUSDT,1d,1500
TAKEUSDT,1d,1500
TANSSIUSDT,1d,1500
TAOUSDT,1d,1500
TAUSDT,1d,1500
THETAUSDT,1d,1500
THEUSDT,1d,1500
TIAUSDT,1d,1500
TLMUSDT,1d,1500
TNSRUSDT,1d,1500
TOKENUSDT,1d,1500
TONUSDT,1d,1500
TOSHIUSDT,1d,1500
TOWNSUSDT,1d,1500
TRADOORUSDT,1d,1500
TRBUSDT,1d,1500
TREEUSDT,1d,1500
TRUMPUSDT,1d,1500
TRUUSDT,1d,1500
TRXUSDT,1d,1500
TSTUSDT,1d,1500
TURBOUSDT,1d,1500
TUSDT,1d,1500
TUTUSDT,1d,1500
TWTUSDT,1d,1500
UBUSDT,1d,1500
UMAUSDT,1d,1500
UNIUSDT,1d,1500
USDCUSDT,1d,1500
USELESSUSDT,1d,1500
USTCUSDT,1d,1500
USUALUSDT,1d,1500
UXLINKUSDT,1d,1500
VANAUSDT,1d,1500
VANRYUSDT,1d,1500
VELODROMEUSDT,1d,1500
VELVETUSDT,1d,1500
