symbol,interval,limit
FXSUSDT,1d,1000
GALAUSDT,1d,1000
GASBTC,1d,1000
GASUSDT,1d,1000
GHSTUSDT,1d,1000
GIGGLEUSDT,1d,1000
GLMBTC,1d,1000
GLMRBTC,1d,1000
GLMRUSDT,1d,1000
GLMUSDT,1d,1000
GMTBTC,1d,1000
GMTUSDT,1d,1000
GMXUSDT,1d,1000
GNOUSDT,1d,1000
GNSUSDT,1d,1000
GPSUSDT,1d,1000
GRTBTC,1d,1000
GRTUSDT,1d,1000
GTCUSDT,1d,1000
GUNUSDT,1d,1000
GUSDT,1d,1000
HAEDALUSDT,1d,1000
HBARBTC,1d,1000
HBARUSDT,1d,1000
HEIBTC,1d,1000
HEIUSDT,1d,1000
HEMIUSDT,1d,1000
HFTBTC,1d,1000
HFTUSDT,1d,1000
HIGHUSDT,1d,1000
HIVEBTC,1d,1000
HIVEUSDT,1d,1000
HMSTRUSDT,1d,1000
HOLOUSDT,1d,1000
HOMEUSDT,1d,1000
HOOKUSDT,1d,1000
HOTUSDT,1d,1000
HUMAUSDT,1d,1000
HYPERUSDT,1d,1000
ICPBTC,1d,1000
ICPUSDT,1d,1000
ICXBTC,1d,1000
ICXUSDT,1d,1000
IDBTC,1d,1000
IDEXUSDT,1d,1000
IDUSDT,1d,1000
ILVBTC,1d,1000
ILVUSDT,1d,1000
IMXBTC,1d,1000
IMXUSDT,1d,1000
INITUSDT,1d,1000
INJBTC,1d,1000
INJUSDT,1d,1000
IOBTC,1d,1000
IOSTUSDT,1d,1000
IOTABTC,1d,1000
IOTAUSDT,1d,1000
IOTXUSDT,1d,1000
IOUSDT,1d,1000
IQUSDT,1d,1000
JASMYUSDT,1d,1000
JOEBTC,1d,1000
JOEUSDT,1d,1000
JSTBTC,1d,1000
JSTUSDT,1d,1000
JTOUSDT,1d,1000
JUPUSDT,1d,1000
JUVUSDT,1d,1000
KAIAUSDT,1d,1000
KAITOBTC,1d,1000
KAITOUSDT,1d,1000
KAVABTC,1d,1000
KAVAUSDT,1d,1000
KERNELUSDT,1d,1000
KITEUSDT,1d,1000
KMNOUSDT,1d,1000
KNCBTC,1d,1000
KNCUSDT,1d,1000
KSMBTC,1d,1000
KSMUSDT,1d,1000
LAUSDT,1d,1000
LAYERBTC,1d,1000
LAYERUSDT,1d,1000
LAZIOUSDT,1d,1000
LDOBTC,1d,1000
LDOUSDT,1d,1000
LINEAUSDT,1d,1000
LINKBTC,1d,1000
LINKUSDT,1d,1000
LISTAUSDT,1d,1000
LPTBTC,1d,1000
LPTUSDT,1d,1000
LQTYUSDT,1d,1000
LRCBTC,1d,1000
LRCUSDT,1d,1000
LSKBTC,1d,1000
LSKUSDT,1d,1000
LTCBTC,1d,1000
LTCUSDT,1d,1000
LUMIAUSDT,1d,1000
LUNAUSDT,1d,1000
LUNCUSDT,1d,1000
MAGICBTC,1d,1000
MAGICUSDT,1d,1000
MANABTC,1d,1000
MANAUSDT,1d,1000
MANTABTC,1d,1000
MANTAUSDT,1d,1000
MASKUSDT,1d,1000
MAVBTC,1d,1000
MAVUSDT,1d,1000
MBLUSDT,1d,1000
MBOXUSDT,1d,1000
MDTUSDT,1d,1000
MEBTC,1d,1000
MEMEUSDT,1d,1000
METISUSDT,1d,1000
METUSDT,1d,1000
MEUSDT,1d,1000
MINABTC,1d,1000
MINAUSDT,1d,1000
MIRAUSDT,1d,1000
MITOUSDT,1d,1000
MLNUSDT,1d,1000
MMTUSDT,1d,1000
MORPHOUSDT,1d,1000
MOVEBTC,1d,1000
MOVEUSDT,1d,1000
